timestamp,task_id,release,region,queue_depth,duration_ms,outcome,attempt
2026-02-01T10:00:00Z,task-1,baseline,east,2,92,succeeded,1
2026-02-01T10:01:00Z,task-2,baseline,east,3,101,succeeded,1
2026-02-01T10:02:00Z,task-3,baseline,east,5,119,succeeded,1
2026-02-01T10:03:00Z,task-4,baseline,east,7,136,succeeded,1
2026-02-01T10:04:00Z,task-5,baseline,east,9,152,failed,1
2026-02-01T10:05:00Z,task-6,baseline,west,2,96,succeeded,1
2026-02-01T10:06:00Z,task-7,baseline,west,4,109,succeeded,1
2026-02-01T10:07:00Z,task-8,baseline,west,6,126,succeeded,1
2026-02-01T10:08:00Z,task-9,baseline,west,8,144,succeeded,1
2026-02-01T10:09:00Z,task-10,baseline,west,10,163,failed,1
2026-02-02T10:00:00Z,task-11,candidate,east,2,87,succeeded,1
2026-02-02T10:01:00Z,task-12,candidate,east,3,95,succeeded,1
2026-02-02T10:02:00Z,task-13,candidate,east,5,106,succeeded,1
2026-02-02T10:03:00Z,task-14,candidate,east,7,121,succeeded,1
2026-02-02T10:04:00Z,task-15,candidate,east,9,139,succeeded,1
2026-02-02T10:05:00Z,task-16,candidate,west,2,90,succeeded,1
2026-02-02T10:06:00Z,task-17,candidate,west,4,99,succeeded,1
2026-02-02T10:07:00Z,task-18,candidate,west,6,114,succeeded,1
2026-02-02T10:08:00Z,task-19,candidate,west,8,130,succeeded,1
2026-02-02T10:09:00Z,task-20,candidate,west,10,148,failed,1
